datetime,Close,Pos,Account,AccountCum,Openorder,Closeorder
2013/9/23,1470.0,0.0,0.0,1926.0,0,0
2013/9/24,1460.0,1.0,0.0,1926.0,"{'Vol': 1, 'Openpos': 1460.0, 'Type': 1, 'Time': '2013/9/24'}","{'Vol': 1, 'Closepos': 1460.0, 'Type': -1, 'Time': '2013/9/24'}"
2013/9/25,1455.0,1.0,1.0,1927.0,"{'Vol': 1, 'Openpos': 1454.0, 'Type': 1, 'Time': '2013/9/25'}","{'Vol': 1, 'Closepos': 1455.0, 'Type': -1, 'Time': '2013/9/25'}"
2013/9/26,1429.0,0.0,0.0,1927.0,0,0
2013/9/27,1428.0,1.0,20.0,1947.0,"{'Vol': 1, 'Openpos': 1408.0, 'Type': 1, 'Time': '2013/9/27'}","{'Vol': 1, 'Closepos': 1428.0, 'Type': -1, 'Time': '2013/9/27'}"
2013/9/30,1380.0,1.0,53.0,2000.0,"{'Vol': 1, 'Openpos': 1327.0, 'Type': 1, 'Time': '2013/9/30'}","{'Vol': 1, 'Closepos': 1380.0, 'Type': -1, 'Time': '2013/9/30'}"
2013/10/8,1351.0,0.0,0.0,2000.0,0,0
2013/10/9,1350.0,0.0,0.0,2000.0,0,0
2013/10/10,1350.0,0.0,0.0,2000.0,0,0
2013/10/11,1358.0,-1.0,-0.0,2000.0,"{'Vol': 1, 'Openpos': 1358.0, 'Type': -1, 'Time': '2013/10/11'}","{'Vol': 1, 'Closepos': 1358.0, 'Type': 1, 'Time': '2013/10/11'}"
2013/10/14,1358.0,0.0,0.0,2000.0,0,0
2013/10/15,1470.0,-1.0,-70.0,1930.0,"{'Vol': 1, 'Openpos': 1400.0, 'Type': -1, 'Time': '2013/10/15'}","{'Vol': 1, 'Closepos': 1470.0, 'Type': 1, 'Time': '2013/10/15'}"
2013/10/16,1470.0,0.0,0.0,1930.0,0,0
2013/10/17,1470.0,0.0,0.0,1930.0,0,0
2013/10/18,1470.0,0.0,0.0,1930.0,0,0
2013/10/21,1400.0,1.0,0.0,1930.0,"{'Vol': 1, 'Openpos': 1400.0, 'Type': 1, 'Time': '2013/10/21'}","{'Vol': 1, 'Closepos': 1400.0, 'Type': -1, 'Time': '2013/10/21'}"
2013/10/22,1480.0,-1.0,1.0,1931.0,"{'Vol': 1, 'Openpos': 1481.0, 'Type': -1, 'Time': '2013/10/22'}","{'Vol': 1, 'Closepos': 1480.0, 'Type': 1, 'Time': '2013/10/22'}"
2013/10/23,1483.0,1.0,20.0,1951.0,"{'Vol': 1, 'Openpos': 1463.0, 'Type': 1, 'Time': '2013/10/23'}","{'Vol': 1, 'Closepos': 1483.0, 'Type': -1, 'Time': '2013/10/23'}"
2013/10/24,1483.0,0.0,0.0,1951.0,0,0
2013/10/25,1481.0,-1.0,10.0,1961.0,"{'Vol': 1, 'Openpos': 1491.0, 'Type': -1, 'Time': '2013/10/25'}","{'Vol': 1, 'Closepos': 1481.0, 'Type': 1, 'Time': '2013/10/25'}"
2013/10/28,1481.0,0.0,0.0,1961.0,0,0
2013/10/29,1481.0,0.0,0.0,1961.0,0,0
2013/10/30,1481.0,0.0,0.0,1961.0,0,0
